SCHOOL,COUNTY,GRAD
Cayuga HS,Anderson County,100.0
Cayuga HS,Anderson County,100.0
Elkhart HS,Anderson County,100.0
Elkhart HS,Anderson County,100.0
Frankston HS,Anderson County,98.1
Frankston HS,Anderson County,98.1
Neches HS,Anderson County,100.0
Neches HS,Anderson County,100.0
Palestine HS,Anderson County,96.9
Palestine HS,Anderson County,96.9
Westwood HS,Anderson County,99.0
Westwood HS,Anderson County,99.0
Slocum HS,Anderson County,93.1
Slocum HS,Anderson County,96.4
Andrews HS,Andrews County,99.2
Andrews HS,Andrews County,99.2
Andrews Education Center,Andrews County,48.9
Andrews Education Center,Andrews County,51.2
Pineywoods Community Academy HS,Angelina County,98.5
Pineywoods Community Academy HS,Angelina County,98.5
Hudson HS,Angelina County,95.5
Hudson HS,Angelina County,95.4
Stubblefield Lrn Ctr,Angelina County,81.3
Stubblefield Lrn Ctr,Angelina County,81.3
Lufkin HS,Angelina County,95.2
Lufkin HS,Angelina County,95.4
Stubblefield Lrn Ctr,Angelina County,41.9
Stubblefield Lrn Ctr,Angelina County,42.5
Huntington HS,Angelina County,97.6
Huntington HS,Angelina County,100.0
Pride Alter Sch,Angelina County,85.0
Pride Alter Sch,Angelina County,88.9
Diboll HS,Angelina County,98.3
Diboll HS,Angelina County,100.0
Stubblefield Lrn Ctr,Angelina County,33.3
Stubblefield Lrn Ctr,Angelina County,33.3
Zavalla HS,Angelina County,86.4
Zavalla HS,Angelina County,86.4
Central HS,Angelina County,97.8
Central HS,Angelina County,97.8
Stubblefield Lrn Ctr,Angelina County,-1
Stubblefield Lrn Ctr,Angelina County,-1
Rockport-Fulton HS,Aransas County,93.3
Rockport-Fulton HS,Aransas County,96.1
Archer City HS,Archer County,100.0
Archer City HS,Archer County,100.0
Holliday HS,Archer County,98.8
Holliday HS,Archer County,98.8
Windthorst HS,Archer County,100.0
Windthorst HS,Archer County,100.0
Claude Schools,Armstrong County,100.0
Claude Schools,Armstrong County,100.0
Charlotte HS,Atascosa County,96.6
Charlotte HS,Atascosa County,96.6
Jourdanton HS,Atascosa County,99.1
Jourdanton HS,Atascosa County,99.1
Lytle HS,Atascosa County,93.1
Lytle HS,Atascosa County,93.0
Pleasanton HS,Atascosa County,96.4
Pleasanton HS,Atascosa County,96.4
Pleasanton ISD School of Choice,Atascosa County,78.9
Pleasanton ISD School of Choice,Atascosa County,78.6
Poteet HS,Atascosa County,86.6
Poteet HS,Atascosa County,88.0
Bellville HS,Austin County,99.3
Bellville HS,Austin County,99.3
Sealy HS,Austin County,96.1
Sealy HS,Austin County,97.5
Brazos HS,Austin County,93.9
Brazos HS,Austin County,95.1
Muleshoe HS,Bailey County,98.9
Muleshoe HS,Bailey County,98.9
Medina School,Bandera County,95.0
Medina School,Bandera County,95.0
Bandera HS,Bandera County,90.9
Bandera HS,Bandera County,92.7
Bastrop HS,Bastrop County,97.5
Bastrop HS,Bastrop County,99.4
Cedar Creek HS,Bastrop County,97.0
Cedar Creek HS,Bastrop County,98.5
Colorado River Collegiate Academy,Bastrop County,98.1
Colorado River Collegiate Academy,Bastrop County,98.1
Genesis HS,Bastrop County,87.9
Genesis HS,Bastrop County,91.9
Elgin HS,Bastrop County,88.6
Elgin HS,Bastrop County,89.1
Phoenix HS,Bastrop County,63.3
Phoenix HS,Bastrop County,82.4
Smithville HS,Bastrop County,89.5
Smithville HS,Bastrop County,90.7
McDade HS,Bastrop County,69.6
McDade HS,Bastrop County,72.7
Seymour HS,Baylor County,93.3
Seymour HS,Baylor County,93.3
AC Jones HS,Bee County,94.0
AC Jones HS,Bee County,94.5
Pettus Secondary,Bee County,96.8
Pettus Secondary,Bee County,96.8
Skidmore-Tynan HS,Bee County,96.5
Skidmore-Tynan HS,Bee County,96.5
Richard Milburn Alter HS,Bell County,35.6
Richard Milburn Alter HS,Bell County,36.0
Richard Milburn Academy Odessa,Bell County,27.5
Richard Milburn Academy Odessa,Bell County,30.7
Richard Milburn Academy Lubbock,Bell County,29.8
Richard Milburn Academy Lubbock,Bell County,36.2
Richard Milburn Academy Houston,Bell County,28.7
Richard Milburn Academy Houston,Bell County,39.7
Richard Milburn Academy Fort Worth,Bell County,16.7
Richard Milburn Academy Fort Worth,Bell County,13.9
Richard Milburn Academy Corpus,Bell County,50.8
Richard Milburn Academy Corpus,Bell County,60.5
Richard Milburn Academy Amarillo,Bell County,35.7
Richard Milburn Academy Amarillo,Bell County,35.9
Richard Milburn Academy Pasadena,Bell County,15.4
Richard Milburn Academy Pasadena,Bell County,21.9
Richard Milburn Academy Midland,Bell County,26.9
Richard Milburn Academy Midland,Bell County,28.8
Priority Charter Schools,Bell County,92.9
Priority Charter Schools,Bell County,92.9
Priority Charter Schools Temple,Bell County,80.0
Priority Charter Schools Temple,Bell County,80.0
Gateway Tech HS,Bell County,65.0
Gateway Tech HS,Bell County,68.4
Gateway College Preparatory School,Bell County,100.0
Gateway College Preparatory School,Bell County,100.0
Academy HS,Bell County,97.6
Academy HS,Bell County,97.6
Bartlett Schools,Bell County,96.0
Bartlett Schools,Bell County,100.0
Belton HS,Bell County,91.6
Belton HS,Bell County,96.7
Holland HS,Bell County,97.9
Holland HS,Bell County,100.0
Killeen HS,Bell County,84.3
Killeen HS,Bell County,85.7
CE Ellison HS,Bell County,89.4
CE Ellison HS,Bell County,93.0
Pathways Academic Campus,Bell County,73.0
Pathways Academic Campus,Bell County,74.1
Harker Heights HS,Bell County,91.3
Harker Heights HS,Bell County,92.6
Robert M Shoemaker HS,Bell County,87.7
Robert M Shoemaker HS,Bell County,88.3
Killeen ISD ECHS,Bell County,98.0
Killeen ISD ECHS,Bell County,98.0
Rogers HS,Bell County,98.5
Rogers HS,Bell County,100.0
Salado HS,Bell County,98.3
Salado HS,Bell County,98.9
Temple HS,Bell County,88.5
Temple HS,Bell County,94.9
Fred W Edwards Academy AEC,Bell County,94.0
Fred W Edwards Academy AEC,Bell County,97.9
Troy HS,Bell County,98.2
Troy HS,Bell County,98.2
Por Vida Academy Charter HS,Bexar County,50.7
Por Vida Academy Charter HS,Bexar County,62.3
Por Vida Academy Corpus Christi,Bexar County,60.0
Por Vida Academy Corpus Christi,Bexar County,73.7
George Gervin Academy,Bexar County,94.4
George Gervin Academy,Bexar County,94.4
Ruth Jones McClendon Middle,Bexar County,65.4
Ruth Jones McClendon Middle,Bexar County,76.2
Frank L Madla ECHS,Bexar County,100.0
Frank L Madla ECHS,Bexar County,100.0
Legacy Traditional School-Basse,Bexar County,100.0
Legacy Traditional School-Basse,Bexar County,100.0
Southwest Preparatory Southeast,Bexar County,80.0
Southwest Preparatory Southeast,Bexar County,80.0
Southwest Preparatory School,Bexar County,91.7
Southwest Preparatory School,Bexar County,91.7
New Directions,Bexar County,100.0
New Directions,Bexar County,100.0
Anne Frank Inspire Academy,Bexar County,100.0
Anne Frank Inspire Academy,Bexar County,100.0
JHW Inspire Academy-Legacy Ranch,Bexar County,-1
JHW Inspire Academy-Legacy Ranch,Bexar County,-1
Positive Solutions Charter,Bexar County,30.0
Positive Solutions Charter,Bexar County,26.7
Heritage Academy of Del Rio,Bexar County,100.0
Heritage Academy of Del Rio,Bexar County,100.0
Jubilee San Antonio,Bexar County,93.4
Jubilee San Antonio,Bexar County,95.0
Jubilee-Lake View University Prep,Bexar County,77.3
Jubilee-Lake View University Prep,Bexar County,77.3
Jubilee Brownsville,Bexar County,95.9
Jubilee Brownsville,Bexar County,95.9
SST SA College Prep HS,Bexar County,98.5
SST SA College Prep HS,Bexar County,98.5
Harmony Science Acad,Bexar County,98.9
Harmony Science Acad,Bexar County,98.8
Harmony School of Innovation,Bexar County,94.2
Harmony School of Innovation,Bexar County,95.6
Harmony School of Excellence,Bexar County,97.0
Harmony School of Excellence,Bexar County,98.5
Somerset Academy Brooks,Bexar County,92.9
Somerset Academy Brooks,Bexar County,94.0
Somerset Academy Collegiate,Bexar County,95.5
Somerset Academy Collegiate,Bexar County,95.4
SST Corpus Christi,Bexar County,98.1
SST Corpus Christi,Bexar County,98.1
Henry Ford Academy Alameda,Bexar County,68.0
Henry Ford Academy Alameda,Bexar County,68.0
Basis San Antonio-Shavano Campus,Bexar County,100.0
Basis San Antonio-Shavano Campus,Bexar County,100.0
Great Hearts Monte Vista North,Bexar County,97.9
Great Hearts Monte Vista North,Bexar County,100.0
Great Hearts Northern Oaks,Bexar County,98.4
Great Hearts Northern Oaks,Bexar County,98.4
Great Hearts Irving Upper,Bexar County,97.4
Great Hearts Irving Upper,Bexar County,97.4
Alamo Heights HS,Bexar County,97.4
Alamo Heights HS,Bexar County,98.4
Harlandale HS,Bexar County,89.9
Harlandale HS,Bexar County,90.3
McCollum HS,Bexar County,88.9
McCollum HS,Bexar County,89.5
HAC DAEP HS,Bexar County,-1
Frank M Tejeda Academy,Bexar County,80.1
Frank M Tejeda Academy,Bexar County,86.5
Harlandale ISD STEM ECHS-Alamo,Bexar County,100.0
Harlandale ISD STEM ECHS-Alamo,Bexar County,100.0
John F Kennedy HS,Bexar County,87.6
John F Kennedy HS,Bexar County,88.7
Memorial HS,Bexar County,86.5
Memorial HS,Bexar County,87.2
Randolph HS,Bexar County,100.0
Randolph HS,Bexar County,100.0
Brackenridge HS,Bexar County,92.6
Brackenridge HS,Bexar County,93.1
Burbank HS,Bexar County,92.0
Burbank HS,Bexar County,92.0
Edison HS,Bexar County,97.5
Edison HS,Bexar County,97.9
Fox Technical HS,Bexar County,97.9
Fox Technical HS,Bexar County,97.9
Highlands HS,Bexar County,77.5
Highlands HS,Bexar County,80.4
Houston HS,Bexar County,67.5
Houston HS,Bexar County,69.8
Jefferson HS,Bexar County,91.3
Jefferson HS,Bexar County,92.7
Lanier HS,Bexar County,83.9
Lanier HS,Bexar County,86.5
Estrada Achievement Ctr,Bexar County,-1
Estrada Achievement Ctr,Bexar County,-1
Travis ECHS,Bexar County,100.0
Travis ECHS,Bexar County,100.0
Young Women's Leadership Academy,Bexar County,100.0
Young Women's Leadership Academy,Bexar County,100.0
Cooper Academy at Navarro,Bexar County,63.3
Cooper Academy at Navarro,Bexar County,94.5
St Philip's College ECHS,Bexar County,91.5
St Philip's College ECHS,Bexar County,91.5
Advanced Learning Academy,Bexar County,98.1
Advanced Learning Academy,Bexar County,98.1
Cast Tech HS,Bexar County,96.8
Cast Tech HS,Bexar County,96.8
Healy-Murphy,Bexar County,45.5
Healy-Murphy,Bexar County,53.3
Juvenile Detent Ctr,Bexar County,0.0
Juvenile Detent Ctr,Bexar County,0.0
South San Antonio HS,Bexar County,80.5
South San Antonio HS,Bexar County,81.9
Somerset HS,Bexar County,88.9
Somerset HS,Bexar County,92.5
Shirleen Zacharias Early Clge,Bexar County,100.0
Shirleen Zacharias Early Clge,Bexar County,100.0
Legacy of Educational Excellence,Bexar County,79.6
Legacy of Educational Excellence,Bexar County,81.7
MacArthur HS,Bexar County,86.9
MacArthur HS,Bexar County,89.2
Churchill HS,Bexar County,86.9
Churchill HS,Bexar County,88.7
Roosevelt HS,Bexar County,80.9
Roosevelt HS,Bexar County,83.5
Madison HS,Bexar County,88.6
Madison HS,Bexar County,89.9
Reagan HS,Bexar County,96.0
Reagan HS,Bexar County,96.9
Academy of Creative Ed,Bexar County,70.1
Academy of Creative Ed,Bexar County,81.7
International School of America,Bexar County,99.1
International School of America,Bexar County,99.1
Alter HS,Bexar County,-1
Alter HS,Bexar County,-1
Johnson HS,Bexar County,96.3
Johnson HS,Bexar County,96.7
Homebased Comp Ed,Bexar County,-1
Homebased Comp Ed,Bexar County,-1
East Central HS,Bexar County,85.8
East Central HS,Bexar County,88.1
Southwest HS,Bexar County,94.4
Southwest HS,Bexar County,94.8
Southwest Legacy HS,Bexar County,91.0
Southwest Legacy HS,Bexar County,92.1
Virginia Allred Stacey Jr/Sr HS,Bexar County,100.0
Virginia Allred Stacey Jr/Sr HS,Bexar County,100.0
Robert G Cole Middle/HS,Bexar County,98.7
Robert G Cole Middle/HS,Bexar County,100.0
Holmes HS,Bexar County,94.4
Holmes HS,Bexar County,94.5
Jay HS,Bexar County,82.7
Jay HS,Bexar County,83.7
Marshall HS,Bexar County,93.2
Marshall HS,Bexar County,94.2
Holmgreen Center,Bexar County,-1
Holmgreen Center,Bexar County,-1
Clark HS,Bexar County,91.4
Clark HS,Bexar County,92.9
Health Careers HS,Bexar County,99.5
Health Careers HS,Bexar County,99.5
Taft HS,Bexar County,97.8
Taft HS,Bexar County,98.1
Chavez Excel Academy,Bexar County,90.2
Chavez Excel Academy,Bexar County,90.6
Reddix Center,Bexar County,0.0
Reddix Center,Bexar County,0.0
O'Connor HS,Bexar County,96.6
O'Connor HS,Bexar County,96.6
Warren HS,Bexar County,96.1
Warren HS,Bexar County,96.3
Stevens HS,Bexar County,90.4
Stevens HS,Bexar County,91.3
Brandeis HS,Bexar County,95.0
Brandeis HS,Bexar County,95.3
Brennan HS,Bexar County,99.3
Brennan HS,Bexar County,99.4
Harlan HS,Bexar County,98.1
Harlan HS,Bexar County,98.1
Judson HS,Bexar County,86.0
Judson HS,Bexar County,87.1
Judson Learning Acad,Bexar County,78.2
Judson Learning Acad,Bexar County,94.3
Karen Wagner HS,Bexar County,80.0
Karen Wagner HS,Bexar County,81.0
Judson Early College Academy,Bexar County,100.0
Judson Early College Academy,Bexar County,100.0
Veterans Memorial HS,Bexar County,88.7
Veterans Memorial HS,Bexar County,90.9
Southside HS,Bexar County,92.0
Southside HS,Bexar County,93.3
Lyndon B Johnson HS,Blanco County,96.7
Lyndon B Johnson HS,Blanco County,96.7
Blanco HS,Blanco County,96.7
Blanco HS,Blanco County,98.9
Borden County School,Borden County,100.0
Borden County School,Borden County,100.0
Clifton HS,Bosque County,98.4
Clifton HS,Bosque County,100.0
Meridian HS,Bosque County,100.0
Meridian HS,Bosque County,100.0
Morgan School,Bosque County,100.0
Morgan School,Bosque County,100.0
Valley Mills HS,Bosque County,100.0
Valley Mills HS,Bosque County,100.0
Walnut Springs School,Bosque County,92.3
Walnut Springs School,Bosque County,92.3
Iredell School,Bosque County,100.0
Iredell School,Bosque County,100.0
Kopperl School,Bosque County,100.0
Kopperl School,Bosque County,100.0
Cranfills Gap School,Bosque County,92.9
Cranfills Gap School,Bosque County,92.9
DeKalb HS,Bowie County,98.6
DeKalb HS,Bowie County,98.6
Hooks HS,Bowie County,100.0
Hooks HS,Bowie County,100.0
Maud School,Bowie County,100.0
Maud School,Bowie County,100.0
New Boston HS,Bowie County,95.3
New Boston HS,Bowie County,96.8
Redwater HS,Bowie County,98.7
Redwater HS,Bowie County,98.7
Texas HS,Bowie County,89.6
Texas HS,Bowie County,91.9
Options Early Graduation HS,Bowie County,95.5
Options Early Graduation HS,Bowie County,97.1
Digital Academy of Texas,Bowie County,40.7
Digital Academy of Texas,Bowie County,42.1
Liberty-Eylau HS,Bowie County,85.3
Liberty-Eylau HS,Bowie County,85.2
James Bowie HS,Bowie County,100.0
James Bowie HS,Bowie County,100.0
Pleasant Grove HS,Bowie County,98.6
Pleasant Grove HS,Bowie County,99.0
Alvin HS,Brazoria County,94.5
Alvin HS,Brazoria County,96.1
Manvel HS,Brazoria County,95.3
Manvel HS,Brazoria County,96.5
Rise,Brazoria County,100.0
Rise,Brazoria County,100.0
Shadow Creek HS,Brazoria County,97.4
Shadow Creek HS,Brazoria County,98.2
Angleton HS,Brazoria County,96.4
Angleton HS,Brazoria County,97.6
Brazoria Co Juvenile Detention,Brazoria County,8.3
Brazoria Co Juvenile Detention,Brazoria County,8.3
Danbury HS,Brazoria County,98.5
Danbury HS,Brazoria County,98.5
Brazosport HS,Brazoria County,85.7
Brazosport HS,Brazoria County,87.6
Brazoswood HS,Brazoria County,92.5
Brazoswood HS,Brazoria County,93.6
Brazos Success Academy,Brazoria County,81.3
Brazos Success Academy,Brazoria County,83.3
Sweeny HS,Brazoria County,100.0
Sweeny HS,Brazoria County,100.0
Columbia HS,Brazoria County,95.9
Columbia HS,Brazoria County,96.4
Pearland HS,Brazoria County,97.3
Pearland HS,Brazoria County,99.2
Pace Center,Brazoria County,93.1
Pace Center,Brazoria County,97.1
Glenda Dawson HS,Brazoria County,98.4
Glenda Dawson HS,Brazoria County,99.7
Robert Turner College and Career,Brazoria County,100.0
Robert Turner College and Career,Brazoria County,100.0
A&M Cons HS,Brazos County,95.2
A&M Cons HS,Brazos County,97.3
College Station HS,Brazos County,93.1
College Station HS,Brazos County,95.1
College View HS,Brazos County,92.3
College View HS,Brazos County,92.3
Travis B Bryan HS,Brazos County,89.9
Travis B Bryan HS,Brazos County,93.0
James Earl Rudder HS,Brazos County,96.4
James Earl Rudder HS,Brazos County,97.5
Bryan Collegiate HS,Brazos County,100.0
Bryan Collegiate HS,Brazos County,100.0
Brazos Co Juvenile Detention,Brazos County,-1
Brazos Co Juvenile Detention,Brazos County,-1
The Mary Catherine Harris School,Brazos County,72.1
The Mary Catherine Harris School,Brazos County,78.7
Big Bend HS,Brewster County,100.0
Big Bend HS,Brewster County,100.0
Alpine HS,Brewster County,95.2
Alpine HS,Brewster County,95.2
Marathon ISD,Brewster County,-1
Marathon ISD,Brewster County,-1
Silverton School,Briscoe County,100.0
Silverton School,Briscoe County,100.0
Falfurrias HS,Brooks County,83.3
Falfurrias HS,Brooks County,85.1
Bangs HS,Brown County,96.2
Bangs HS,Brown County,96.2
Brownwood HS,Brown County,94.3
Brownwood HS,Brown County,94.8
Brownwood Accelerated HS,Brown County,91.3
Brownwood Accelerated HS,Brown County,91.3
Blanket School,Brown County,94.7
Blanket School,Brown County,94.7
May HS,Brown County,95.2
May HS,Brown County,95.2
Zephyr School,Brown County,100.0
Zephyr School,Brown County,100.0
Brookesmith School,Brown County,100.0
Brookesmith School,Brown County,100.0
Early HS,Brown County,98.9
Early HS,Brown County,98.9
Caldwell HS,Burleson County,95.7
Caldwell HS,Burleson County,97.1
Somerville HS,Burleson County,92.5
Somerville HS,Burleson County,94.9
Snook Secondary,Burleson County,94.6
Snook Secondary,Burleson County,94.4
Burnet HS,Burnet County,96.9
Burnet HS,Burnet County,97.4
Quest HS,Burnet County,96.5
Quest HS,Burnet County,96.0
Marble Falls HS,Burnet County,97.8
Marble Falls HS,Burnet County,98.7
Falls Career HS,Burnet County,91.9
Falls Career HS,Burnet County,95.0
Lockhart HS,Caldwell County,86.6
Lockhart HS,Caldwell County,87.5
Lockhart Pride HS,Caldwell County,80.3
Lockhart Pride HS,Caldwell County,83.3
Luling HS,Caldwell County,92.6
Luling HS,Caldwell County,93.5
Prairie Lea School,Caldwell County,95.2
Prairie Lea School,Caldwell County,95.0
Calhoun HS,Calhoun County,91.7
Calhoun HS,Calhoun County,94.6
Hope HS,Calhoun County,100.0
Hope HS,Calhoun County,100.0
Cross Plains HS,Callahan County,93.1
Cross Plains HS,Callahan County,92.9
Clyde HS,Callahan County,100.0
Clyde HS,Callahan County,100.0
Baird HS,Callahan County,85.0
Baird HS,Callahan County,85.0
Eula HS,Callahan County,100.0
Eula HS,Callahan County,100.0
Hanna ECHS,Cameron County,92.0
Hanna ECHS,Cameron County,93.2
Porter ECHS,Cameron County,92.9
Porter ECHS,Cameron County,93.3
Pace ECHS,Cameron County,97.2
Pace ECHS,Cameron County,98.0
Rivera ECHS,Cameron County,94.1
Rivera ECHS,Cameron County,95.1
Lopez ECHS,Cameron County,88.1
Lopez ECHS,Cameron County,88.8
Brownsville ECHS,Cameron County,100.0
Brownsville ECHS,Cameron County,100.0
Veterans Memorial ECHS,Cameron County,98.7
Veterans Memorial ECHS,Cameron County,99.6
Harlingen HS,Cameron County,91.9
Harlingen HS,Cameron County,93.6
Harlingen HS-South,Cameron County,92.2
Harlingen HS-South,Cameron County,95.4
Harlingen Collegiate HS,Cameron County,100.0
Harlingen Collegiate HS,Cameron County,100.0
Harlingen School of Health,Cameron County,100.0
Harlingen School of Health,Cameron County,100.0
Edna Tamayo House,Cameron County,-1
La Feria HS,Cameron County,93.6
La Feria HS,Cameron County,96.2
La Feria Academy,Cameron County,72.0
La Feria Academy,Cameron County,76.2
Los Fresnos HS,Cameron County,94.7
Los Fresnos HS,Cameron County,94.9
Port Isabel ECHS,Cameron County,89.0
Port Isabel ECHS,Cameron County,90.1
Rio Hondo HS,Cameron County,94.2
Rio Hondo HS,Cameron County,94.9
San Benito HS,Cameron County,92.5
San Benito HS,Cameron County,93.2
RGV Youth Recovery Home,Cameron County,-1
Gateway To Graduation Academy,Cameron County,61.4
Gateway To Graduation Academy,Cameron County,72.2
Santa Maria HS,Cameron County,98.0
Santa Maria HS,Cameron County,98.0
Santa Maria Academic Academy,Cameron County,-1
Santa Maria Academic Academy,Cameron County,-1
Santa Rosa HS,Cameron County,97.3
Santa Rosa HS,Cameron County,97.3
South Texas ISD World Scholars,Cameron County,100.0
South Texas ISD World Scholars,Cameron County,100.0
South Texas ISD Medical,Cameron County,99.0
South Texas ISD Medical,Cameron County,99.0
South Texas ISD Health Professions,Cameron County,100.0
South Texas ISD Health Professions,Cameron County,100.0
South Texas ISD Science Academy,Cameron County,100.0
South Texas ISD Science Academy,Cameron County,100.0
Pittsburg HS,Camp County,99.4
Pittsburg HS,Camp County,99.4
Groom School,Carson County,92.9
Groom School,Carson County,92.9
Panhandle HS,Carson County,97.8
Panhandle HS,Carson County,100.0
White Deer HS,Carson County,100.0
White Deer HS,Carson County,100.0
Atlanta HS,Cass County,99.0
Atlanta HS,Cass County,100.0
Avinger School,Cass County,100.0
Avinger School,Cass County,100.0
Hughes Springs HS,Cass County,100.0
Hughes Springs HS,Cass County,100.0
Linden-Kildare HS,Cass County,92.5
Linden-Kildare HS,Cass County,92.5
McLeod HS,Cass County,100.0
McLeod HS,Cass County,100.0
Queen City HS,Cass County,98.6
Queen City HS,Cass County,98.6
Bloomburg School,Cass County,100.0
Bloomburg School,Cass County,100.0
Dimmitt HS,Castro County,96.2
Dimmitt HS,Castro County,96.2
Hart ISD,Castro County,100.0
Hart ISD,Castro County,100.0
Nazareth School,Castro County,100.0
Nazareth School,Castro County,100.0
Anahuac HS,Chambers County,97.9
Anahuac HS,Chambers County,97.9
Barbers Hill HS,Chambers County,98.2
Barbers Hill HS,Chambers County,98.7
East Chambers HS,Chambers County,97.3
East Chambers HS,Chambers County,97.3
Alto HS,Cherokee County,98.0
Alto HS,Cherokee County,98.0
Jacksonville HS,Cherokee County,94.2
Jacksonville HS,Cherokee County,94.7
Rusk HS,Cherokee County,97.4
Rusk HS,Cherokee County,97.4
New Summerfield School,Cherokee County,100.0
New Summerfield School,Cherokee County,100.0
Wells School,Cherokee County,100.0
Wells School,Cherokee County,100.0
Childress HS,Childress County,97.0
Childress HS,Childress County,97.0
Henrietta HS,Clay County,98.4
Henrietta HS,Clay County,98.4
Petrolia JH/HS,Clay County,97.0
Petrolia JH/HS,Clay County,97.0
Bellevue School,Clay County,85.7
Bellevue School,Clay County,85.7
Midway School,Clay County,100.0
Midway School,Clay County,100.0
Morton School,Cochran County,100.0
Morton School,Cochran County,100.0
Whiteface School,Cochran County,94.7
Whiteface School,Cochran County,94.7
Bronte ISD,Coke County,100.0
Bronte ISD,Coke County,100.0
Robert Lee School,Coke County,100.0
Robert Lee School,Coke County,100.0
Coleman HS,Coleman County,100.0
Coleman HS,Coleman County,100.0
Santa Anna Secondary,Coleman County,100.0
Santa Anna Secondary,Coleman County,100.0
Panther Creek School,Coleman County,100.0
Panther Creek School,Coleman County,100.0
Imagine International Academy,Collin County,97.5
Imagine International Academy,Collin County,97.5
Allen HS,Collin County,97.3
Allen HS,Collin County,98.0
Anna HS,Collin County,95.6
Anna HS,Collin County,96.5
Anna ISD DAEP,Collin County,-1
Anna ISD DAEP,Collin County,-1
Celina HS,Collin County,99.5
Celina HS,Collin County,100.0
Farmersville HS,Collin County,97.8
Farmersville HS,Collin County,98.5
Frisco HS,Collin County,96.2
Frisco HS,Collin County,97.5
Centennial HS,Collin County,97.5
Centennial HS,Collin County,97.9
Wakeland HS,Collin County,98.6
Wakeland HS,Collin County,99.4
Liberty HS,Collin County,97.1
Liberty HS,Collin County,99.0
Heritage HS,Collin County,98.2
Heritage HS,Collin County,98.8
Lone Star HS,Collin County,98.5
Lone Star HS,Collin County,99.6
Independence HS,Collin County,98.6
Independence HS,Collin County,99.5
Reedy HS,Collin County,99.1
Reedy HS,Collin County,99.6
Lebanon Trail HS,Collin County,98.3
Lebanon Trail HS,Collin County,99.1
Memorial HS,Collin County,96.9
Memorial HS,Collin County,97.9
McKinney HS,Collin County,96.6
McKinney HS,Collin County,96.9
McKinney North HS,Collin County,96.4
McKinney North HS,Collin County,99.6
Serenity High,Collin County,-1
Serenity High,Collin County,-1
County Residential Center,Collin County,-1
County Residential Center,Collin County,-1
McKinney Boyd HS,Collin County,96.0
McKinney Boyd HS,Collin County,96.4
Melissa HS,Collin County,97.9
Melissa HS,Collin County,98.6
Plano Sr HS,Collin County,94.6
Plano Sr HS,Collin County,96.4
Plano East Sr HS,Collin County,93.9
Plano East Sr HS,Collin County,94.8
Academy HS,Collin County,100.0
Academy HS,Collin County,100.0
Plano West Senior HS,Collin County,95.9
Plano West Senior HS,Collin County,96.7
Princeton HS,Collin County,95.9
Princeton HS,Collin County,97.5
Prosper HS,Collin County,99.5
Prosper HS,Collin County,99.5
Wylie HS,Collin County,98.6
Wylie HS,Collin County,99.0
Wylie East HS,Collin County,97.5
Wylie East HS,Collin County,98.4
Achieve Academy,Collin County,98.1
Achieve Academy,Collin County,97.7
Blue Ridge HS,Collin County,100.0
Blue Ridge HS,Collin County,100.0
Community HS,Collin County,94.3
Community HS,Collin County,94.7
Lovejoy HS,Collin County,99.0
Lovejoy HS,Collin County,99.3
Wellington HS,Collingsworth County,100.0
Wellington HS,Collingsworth County,100.0
Columbus HS,Colorado County,97.3
Columbus HS,Colorado County,97.3
Columbus Alternative School,Colorado County,100.0
Columbus Alternative School,Colorado County,100.0
Rice HS,Colorado County,100.0
Rice HS,Colorado County,100.0
Rice Challenge Academy,Colorado County,-1
Rice Challenge Academy,Colorado County,-1
Weimar HS,Colorado County,97.4
Weimar HS,Colorado County,97.4
Trinity Charter Schools-Tyler,Comal County,33.3
Trinity Charter Schools-Tyler,Comal County,41.7
New Braunfels HS,Comal County,96.9
New Braunfels HS,Comal County,97.8
The NBISD Learning Center,Comal County,91.2
The NBISD Learning Center,Comal County,94.0
Canyon HS,Comal County,96.2
Canyon HS,Comal County,97.8
Smithson Valley HS,Comal County,97.4
Smithson Valley HS,Comal County,98.3
Canyon Lake HS,Comal County,95.2
Canyon Lake HS,Comal County,97.2
Memorial ECHS with St Philip's,Comal County,100.0
Memorial ECHS with St Philip's,Comal County,100.0
Comal Academy,Comal County,97.7
Comal Academy,Comal County,98.6
Comanche HS,Comanche County,100.0
Comanche HS,Comanche County,100.0
De Leon HS,Comanche County,98.3
De Leon HS,Comanche County,98.3
Gustine School,Comanche County,100.0
Gustine School,Comanche County,100.0
Sidney School,Comanche County,-1
Sidney School,Comanche County,-1
Eden CISD,Concho County,100.0
Eden CISD,Concho County,100.0
Paint Rock School,Concho County,100.0
Paint Rock School,Concho County,100.0
Gainesville HS,Cooke County,99.0
Gainesville HS,Cooke County,99.0
Muenster HS,Cooke County,100.0
Muenster HS,Cooke County,100.0
Valley View HS,Cooke County,98.5
Valley View HS,Cooke County,98.5
Callisburg HS,Cooke County,98.5
Callisburg HS,Cooke County,98.5
Era School,Cooke County,100.0
Era School,Cooke County,100.0
Lindsay HS,Cooke County,100.0
Lindsay HS,Cooke County,100.0
Evant HS,Coryell County,71.4
Evant HS,Coryell County,71.4
Gatesville HS,Coryell County,92.2
Gatesville HS,Coryell County,93.6
Oglesby School,Coryell County,100.0
Oglesby School,Coryell County,100.0
Jonesboro School,Coryell County,100.0
Jonesboro School,Coryell County,100.0
Copperas Cove HS,Coryell County,94.7
